Registered,Project title,Host parties,Other Parties,Methodology,Reductions,Ref
21/10/2013,"Kithulgala Small Scale Hydropower CDM Project in Sri Lanka",Sri Lanka,,AMS-I.D. ver. 17,18131,9756
22/10/2013,"Beijing Haidian District Liulitun Landfill Gas Power Generation Project",China,Switzerland,ACM0001 ver. 13,116470,8152
23/10/2013,"Solar Thermal Power Project by APCL",India,,AMS-I.D. ver. 17,4880,9776
25/10/2013,"Cikaso Hydroelectric Power Project in Indonesia",Indonesia,Japan,AMS-I.D. ver. 17,19133,7567
28/10/2013,"Tunjita Diversion Hydroelectric Project",Colombia,,ACM0002 ver. 12,32222,5025
28/10/2013,"Hedcor Irisan 3.8MW Hydroelectric Power Project",Philippines,,AMS-I.D. ver. 17,5312,9569
29/10/2013,"Inner Mongolia Adaohai Mine Gas Utilization Project",China,,ACM0008 ver. 7,172744,8355
01/11/2013,"Sao Salvador Itaberai Wastewater Treatment",Brazil,,AMS-III.Y. ver. 3,55583,9768
02/11/2013,"Small Scale Wind Energy project in India by Shabnam Petrofils Pvt. Ltd",India,,AMS-I.D. ver. 17,3108,9453
06/11/2013,"Divisa Small Hydropower Project",Brazil,,AMS-I.D. ver. 17,26733,9540
06/11/2013,"Anaerobic digestion and heat generation at Sugar Corporation of Uganda Limited",Uganda,United Kingdom of Great Britain and Northern Ireland,AMS-III.H. ver. 16/ AMS-I.C. ver. 19,46974,9620
06/11/2013,"Shaanxi Shifeng Cement Waste Heat Recovery Project",China,Japan,AMS-III.Q. ver. 4,48931,8882
07/11/2013,"Hedcor Tudaya 1&2 Hydroelectric Power Project",Philippines,,AMS-I.D. ver. 17,62931,9609
07/11/2013,"Solar PV Project – Shyri-1",Ecuador,France,ACM0002 ver. 13,49069,9511
08/11/2013,"Hy Brazil Energia S/A renewable energy generation project bundle – Group 2 and Group 3",Brazil,,AMS-I.D. ver. 17,11023,9594
11/11/2013,"Siteki, Plumbungan, Ketenger #4 and Cileunca Small-Scale Hydroelectric Power Projects",Indonesia,Japan,AMS-I.D. ver. 17,21041,9618
15/11/2013,"Datang International Faku Shuangtaizi Wind Power Project",China,,ACM0002 ver. 13,94312,9590
21/11/2013,"Zhuzhou Longting Longfeng Wind Farm Project",China,,ACM0002 ver. 13,81052,9781
21/11/2013,"Liangzhou District 50MWp Grid-connected Solar PV Power Project",China,,ACM0002 ver. 13,63831,9788
25/11/2013,"6.3 MW Wind Power Project by Diamond Power Infrastructure Ltd.",India,,AMS-I.D. ver. 17,9743,9795
25/11/2013,"CDM Project CAAL",Brazil,,AMS-III.E. ver. 16/ AMS-I.D. ver. 17,2339,9794
28/11/2013,"Puerto Chivos Landfill Gas Project",Mexico,United Kingdom of Great Britain and Northern Ireland,ACM0001 ver. 13,79873,9686
29/11/2013,"Bundled Wind Power Project by EKI Energy Services Limited (EKIESL-CDM.January-12-01)",India,,ACM0002 ver. 13,58895,9735
29/11/2013,"Punatsangchhu-I Hydroelectric Project, Bhutan",Bhutan,,ACM0002 ver. 13,4177672,9210
02/12/2013,"Gunung Megang Add-on Combined Cycle Project",Indonesia,Netherlands,ACM0007 ver. 6,106172,6869
03/12/2013,"Da Dang-Dachomo Hydropower Project",Viet Nam,,ACM0002 ver. 13,59390,8803
04/12/2013,"2.5 MW wind energy based power generation in Tamil Nadu by KBSPL",India,,AMS-I.D. ver. 17,4897,9658
04/12/2013,"Xinxiang Pingyuan Tongli Cement Corporation Ltd. Increasing Blend in P·O42.5 Cement Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0005 ver. 7,75771,8726
06/12/2013,"Monreal Hydroelectric Project in Aysen",Chile,,AMS-I.D. ver. 17,4786,9803
06/12/2013,"Wind Electricity Generation at Tamil Nadu, India",India,,AMS-I.D. ver. 17,6144,9804
11/12/2013,"Bundled Wind Energy Project",India,,AMS-I.D. ver. 17,10058,9810
16/12/2013,"Natural Gas based Combined Cycle Power Plant, GPPC at, Gujarat",India,,AM0029 ver. 3,1076688,9675
16/12/2013,"5.45 MW Bundled Wind Power Project in Rajasthan, India",India,,AMS-I.D. ver. 17,7033,9598
18/12/2013,"Minas San Francisco Hydroelectric Project",Ecuador,,ACM0002 ver. 13,690320,9629
18/12/2013,"La Merced de Jondachi Hydroelectric Project",Ecuador,,ACM0002 ver. 13,60288,9628
23/12/2013,"4 MW wind power project at Tuticorin, Tamilnadu, India",India,,AMS-I.D. ver. 17,7442,9833
23/12/2013,"SEC Northern Energy Holding Co., Ltd. Xilinguole Xianghuangqi 20MWp Solar PV Power Generation Project",China,,ACM0002 ver. 13,27743,9817
23/12/2013,"Denawaka Ganga Mini Hydro Power Project",Sri Lanka,Japan,AMS-I.D. ver. 17,13573,9831
23/12/2013,"Biogas Recovery in Siak",Indonesia,Republic of Korea,AMS-III.H. ver. 16,512,9826
24/12/2013,"Wind Power Project of RVC",India,,AMS-I.D. ver. 17,3087,9835
25/12/2013,"Wind power project in Gujarat",India,,AMS-I.D. ver. 17,12660,9451
30/12/2013,"Bundled wind power project in Tamil Nadu, India",India,,AMS-I.D. ver. 17,6358,9842
30/12/2013,"Biomass Power Project of Gia Lai Cane Sugar and Thermoelectricity Joint Stock Company",Viet Nam,Sweden,AMS-I.C. ver. 19,37350,8444
31/12/2013,"Kirkoswald Small Scale Hydro Power CDM Project in Sri Lanka",Sri Lanka,,AMS-I.D. ver. 17,9244,9760
03/01/2014,"FANAPEL Biomass-based CHP",Uruguay,,AMS-I.C. ver. 19,12186,9765
06/01/2014,"Zorlu Enerji Wind Project",Pakistan,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 14,98172,9849
06/01/2014,"Inner Mongolia Hangjinqi Balagong 10MWp Solar Power Plant Project",China,,AMS-I.D. ver. 17,14023,9851
06/01/2014,"Alternative Green Power to Grid",India,,AMS-I.D. ver. 17,16330,9832
06/01/2014,"Hydro Power Project at Masli and Hydro Power Project at Tangnu",India,,AMS-I.D. ver. 17,43609,9216
09/01/2014,"Henan Mianchi Shangqu Wind Power Project",China,,ACM0002 ver. 14,76563,9828
10/01/2014,"Aftaab 5MW Solar PV Power Plant",India,,AMS-I.D. ver. 17,8995,9859
10/01/2014,"Agrahara Mini Hydel Scheme – I & II",India,,AMS-I.D. ver. 17,4938,9860
10/01/2014,"5 MW Biomass Gasification based power project by FEPL",Sri Lanka,,AMS-I.D. ver. 17,24747,9836
14/01/2014,"1.5 MW Wind Power Project in Rajasthan by Jivraj Tea Limited",India,,AMS-I.D. ver. 17,2436,9586
14/01/2014,"Niassa Reforestation Project",Mozambique,,AR-ACM0003,23585,9747
15/01/2014,"“Yoshlik” Landfill Gas Capture Project, Uzbekistan",Uzbekistan,Netherlands,AMS-III.G. ver. 8,30593,9730
17/01/2014,"8.40MW Bundled Wind Power Project in Rajasthan by Friends Salt Works & Allied Ind. & Gautam Freight Pvt. Ltd.",India,,AMS-I.D. ver. 17,14492,9868
20/01/2014,"Santa Rita Hydroelectric Plant",Guatemala,,ACM0002 ver. 14,52131,9713
21/01/2014,"Hydro Kuhlemann Geração and Fi Bra Geração: Grid connected renewable electricity through the SHPs Karl Kuhlemann and Helena Kuhlemann",Brazil,,AMS-I.D. ver. 17,7583,9873
21/01/2014,"Jiangxi Datang International Jishan Wind Farm Project",China,,ACM0002 ver. 13,77955,9857
,"Cucuana Hydroelectric Power Plant",Colombia,,ACM0002 ver. 13,88250,9830
23/01/2014,"E.CL Wind Farm Project",Chile,,ACM0002 ver. 14,507358,9723
23/01/2014,"Jiangxi Datang International Songmen Mountain Wind Power Project",China,,ACM0002 ver. 13,73290,9864
24/01/2014,"Chathankottunada Stage-II SHEP",India,,AMS-I.D. ver. 17,12373,9448
24/01/2014,"Vilangad Small Hydroelectric Project(VSHEP), Kerala (India)",India,,AMS-I.D. ver. 17,18973,9447
28/01/2014,"CLP 49.5MW Laiwu Phase I Wind Power Project",China,,ACM0002 ver. 14,86898,9872
28/01/2014,"Fuel Switch at the Hot Plate Mill of MAKSTIL A.D",The former Yugoslav Republic of Macedonia,Japan,AMS-III.AN. ver. 2,8563,9454
28/01/2014,"10.5MW PowerGen Lanka Small Scale Wind Power CDM Project in Sri Lanka",Sri Lanka,,AMS-I.D. ver. 17,15456,9824
29/01/2014,"Bundled Grid Connected Wind Power Project by Gayathri Sustainable Energies India Private Limited.",India,,AMS-I.D. ver. 17,11931,9878
30/01/2014,"Nam Ngiep 3A Hydropower Project",Lao People's Democratic Republic,Sweden,ACM0002 ver. 13,85604,9881
30/01/2014,"Energy Efficient Green Building at New Delhi by ONGC Ltd",India,,AMS-II.E. ver. 10,5944,6519
30/01/2014,"Semangka Hydro Electric Power Project",Indonesia,,ACM0002 ver. 13,207158,9861
Rejected,"SHPs Coronel Araújo and Passo Ferraz CDM Project (JUN1059), Brazil",Brazil,,AMS-I.D. ver. 17,10431,9784
31/01/2014,"Grid connected wind power project by CFML",India,,AMS-I.D. ver. 17,1429,9883
03/02/2014,"Restoration of Degraded Lands through Reforestation in MAU Forest Complex, Kenya",Kenya,,AR-ACM0003,96436,9785
03/02/2014,"Solar Photovoltic Power project at Charanka , Patan District in Gujarat",India,,AMS-I.D. ver. 17,24040,9709
03/02/2014,"Restoration of Degraded Lands through Reforestation in Aberdare Forest Complex & National Park area, Kenya",Kenya,,AR-ACM0003,18571,9789
03/02/2014,"Barapole Small Hydro Electric Project",India,,AMS-I.D. ver. 17,25329,9853
04/02/2014,"Biomass power plant by Sahagreen Forest Project",Thailand,,AMS-I.D. ver. 17,28445,8814
05/02/2014,"3.7 MW Bundle Wind Power Project in Maharashtra",India,,AMS-I.D. ver. 17,6044,9887
12/02/2014,"Henan Yuanbaoshan Wind Power Project",China,,ACM0002 ver. 14,71007,9866
12/02/2014,"Xinjiang Jingou River Six-level Hydropower Project",China,,AMS-I.D. ver. 17,35475,9867
13/02/2014,"Flare Gas Recovery Facilities Project in Unit 49 of MAB Refinery - KNPC",Kuwait,,AM0055 ver. 2,91736,9892
18/02/2014,"Jiangxi Datang International Anyuan Jiulongshan Wind Power Project",China,,ACM0002 ver. 14,85549,9877
18/02/2014,"Furong River Haokou Hydropower Project",China,,ACM0002 ver. 14,335218,9876
18/02/2014,"Renewable energy generation at Hamira",India,,AMS-I.C. ver. 20,116832,9771
18/02/2014,"Fengcheng Yuhuashan Wind Power Project",China,,ACM0002 ver. 14,85663,9879
21/02/2014,"Xenamnoy 1 Hydropower Project",Lao People's Democratic Republic,Switzerland,AMS-I.D. ver. 17,47558,9898
25/02/2014,"Grid Connected Solar PV Project by M/s. D. J. Malpani in Rajasthan",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,21209,9871
28/02/2014,"Inner Mongolia Huanghe Industry and Trade (Group) Qianlishan Coal Coking Co., Ltd. Coke Dry Quenching (CDQ) Technical Reconstruction Engineering Project",China,Netherlands,ACM0012 ver. 4,86488,9770
28/02/2014,"El Diamante 5 MW hydroelectric project",Nicaragua,,AMS-I.D. ver. 17,14393,9903
05/03/2014,"BQS improved cookstoves for Burundi police camps and prisons",Burundi,United Kingdom of Great Britain and Northern Ireland,AMS-I.E. ver. 5,80313,9790
05/03/2014,"BQS improved cookstoves for Burundi’s schools",Burundi,United Kingdom of Great Britain and Northern Ireland,AMS-I.E. ver. 5,67347,9791
06/03/2014,"2.1 MW Wind Project of Colourtex Industries Ltd. at Kutch district in Gujarat state, India.",India,,AMS-I.D. ver. 17,3419,9906
07/03/2014,"Chongli Xiqiaoliang Phase II 48MW Wind Power Project",China,,ACM0002 ver. 14,93298,9897
10/03/2014,"Gas Collection, Incineration and Electricity Generation System at Da Phuoc Integrated Waste Management Facility",Viet Nam,,ACM0001 ver. 13,361833,9253
10/03/2014,"Installation of natural gas based combined cooling heating and power (CCHP) systems in DLF Building 8 in Gurgaon, India",India,,AMS-II.H. ver. 3,7895,5578
10/03/2014,"5.4 MW bundled Wind power project activity in kutch district of Gujarat",India,,AMS-I.D. ver. 17,12633,9793
11/03/2014,"Xinjiang Ili Kukesu River Halajun Hydropower Project",China,,ACM0002 ver. 13,112993,9891
11/03/2014,"5 MW Solar PV Power Plant CDM Project by Swiss Park Vanijya Pvt. Ltd.,- Tinwari, Jodhpur, Rajasthan, India",India,,AMS-I.D. ver. 17,7814,9909
13/03/2014,"Fes New Landfill Gas Recovery Reuse and Flaring Project",Morocco,,ACM0001 ver. 13,118553,9761
13/03/2014,"Sinohydro Group Ltd. Jiangsu Rudong 100MW Intertidal Zone Offshore Wind Power Project",China,,ACM0002 ver. 13,169532,9751
,"BQS improved cookstoves for Burundi restaurants",Burundi,Switzerland,AMS-I.E. ver. 5,98105,9911
19/03/2014,"Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited",India,,AMS-I.D. ver. 17,22948,9455
20/03/2014,"2.1 MW Wind Power Project by Kaizen Switchgear Products in Rajkot District of Gujarat",India,,AMS-I.D. ver. 17,3600,9918
22/03/2014,"Solar PV power project by Moser Baer Photo Voltaic Limited",India,,AMS-I.D. ver. 17,7675,9919
22/03/2014,"Inner Mongolia Eergetu Phase I Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 14,115074,4120
24/03/2014,"Xe Namnoy 2 - Xe Katam 1 Hydropower Project",Lao People's Democratic Republic,Switzerland,AMS-I.D. ver. 17,46438,9915
28/03/2014,"Perunthenaruvi small hydro electric project",India,,AMS-I.D. ver. 17,18132,9896
02/04/2014,"Expansion of coffee manufacturing capacity from 4000MT/Annum to 12000MT/Annum",Viet Nam,,AMS-I.C. ver. 19,33278,8579
02/04/2014,"Real Waste Heat Recovery CDM Project",India,,ACM0012 ver. 4,36281,9823
Rejected,"“Tucuruí-Macapá-Manaus Electrical Interconnected grid” (for simplicity hereafter referred to simply as the “LT-Amazonas Project”).",Brazil,,AM0104,2008821,9051
11/04/2014,"Renascenca and Ventos de Sao Miguel Wind Power Bundled Project",Brazil,,ACM0002 ver. 13,269364,9923
15/04/2014,"Bundled Wind Power Project by Aditya Marine Limited (EKIESL-CDM.January-12-03)",India,,AMS-I.D. ver. 17,18869,9256
15/04/2014,"Bundled Wind Power Project by MLCO",India,,AMS-I.D. ver. 17,11022,9932
21/04/2014,"3MW Beedalli Mini Hydel Project, Kodagu District, Karnataka, India",India,,AMS-I.D. ver. 17,7489,9939
23/04/2014,"Power Generation using Waste pressure Energy of BF gas from Gas Expansion Turbine Station of BF-3 of Rashtriya Ispat Nigam Limited",India,,ACM0012 ver. 4,60810,9613
24/04/2014,"Installation of a tri-generation system supplying energy to a commercial Building",Saudi Arabia,Ireland,AMS-II.K. ver. 2,6515,9653
07/05/2014,"Bundled Wind Project in RTK",India,,AMS-I.D. ver. 17,7028,9952
07/05/2014,"Bundled Wind Power Project at Rajasthan India",India,,AMS-I.D. ver. 17,4612,9950
08/05/2014,"Hydro Power Plant Ulog",Bosnia and Herzegovina,,ACM0002 ver. 13,87846,9529
13/05/2014,"3 MW Captive Wind Project by Bhagwati Spherocast Pvt. Ltd in Gujarat",India,,AMS-I.D. ver. 17,5972,9958
13/05/2014,"Inner Mongolia Zhuozi Bayin Solar Power Plant Project",China,,AMS-I.D. ver. 17,13952,9957
16/05/2014,"Kanchanjunga Hydro Power Project in Himachal Pradesh, India",India,,ACM0002 ver. 14,89872,9938
16/05/2014,"Queixada Small Hydroelectric Power Plant CDM Project",Brazil,,ACM0002 ver. 13,41540,9622
19/05/2014,"5 MW Solar Photovoltaic Power Project by Backbone Enterprises Limited in Gujarat, India",India,,AMS-I.D. ver. 17,8513,9961
19/05/2014,"5.1MW Grid Connected Wind Electricity Generation at Ngong Hills, Kenya.",Kenya,,AMS-I.D. ver. 17,9941,9960
19/05/2014,"Grid Connected Wind Power Project in Gujarat, India",India,,ACM0002 ver. 14,38794,9924
21/05/2014,"Fengning Luotuogou Wind Power Project Phase II",China,,ACM0002 ver. 13,95782,9947
22/05/2014,"Manufacture and utilization of bio-coal briquettes in Stutterheim, South Africa",South Africa,Sweden,ACM0022,131270,8369
22/05/2014,"Canhanduba Landfill Project",Brazil,United Kingdom of Great Britain and Northern Ireland,ACM0001 ver. 13,78269,9943
23/05/2014,"Grid Connected Wind Power Project - Bundle 1",India,,AMS-I.D. ver. 17,12485,9963
23/05/2014,"5 MW Solar PV Power Project at NTPC Faridabad",India,,AMS-I.D. ver. 17,6844,9964
26/05/2014,"TPI Polene Power Waste Heat Recovery Power Plant Project, Thailand",Thailand,,ACM0012 ver. 4,150991,9936
27/05/2014,"Inner Mongolia Chayouhouqi Hongmu Phase I 20MWp Solar Power Project",China,,ACM0002 ver. 13,31314,9955
28/05/2014,"Bundled Wind Power Project by Texonic Instruments",India,,AMS-I.D. ver. 17,7309,9965
28/05/2014,"1.2 MW Captive Power Generation through biomass at Maa Durga Rice Products (P) Ltd., Orissa",India,,AMS-I.C. ver. 19,6672,9959
03/06/2014,"5.25 MW Bundled Wind Power Project in Tamilnadu",India,,AMS-I.D. ver. 17,11711,9969
04/06/2014,"Suba and Usaquen hydroelectric CDM umbrella project",Colombia,,AMS-I.D. ver. 17,10424,9798
09/06/2014,"Casa Nova Wind Power Plant CDM Project",Brazil,,ACM0002 ver. 13,131975,9914
19/06/2014,"Genaveh Combined Cycle Power Plant",Iran (Islamic Republic of),,AM0029 ver. 3,702849,9895
26/06/2014,"Mile 24 Regional Sanitary Landill LFG Project",Belize,,AMS-III.G. ver. 8,18459,9980
01/07/2014,"Bundled Wind Power Project in Tamilnadu, India, co-ordinated by Tamilnadu Spinning Mills Association (TASMA-II (B))",India,,AMS-I.D. ver. 17,9300,9985
07/07/2014,"Bundled wind power project at Satara, Maharashtra",India,,AMS-I.D. ver. 17,21481,9927
08/07/2014,"1.7 MW Wind Power project by City Corporation Ltd",India,,AMS-I.D. ver. 17,2568,9459
09/07/2014,"SHP Paracambi CDM Project (JUN 1064), Brazil",Brazil,,ACM0002 ver. 14,33993,9893
10/07/2014,"SHPs Tambaú, das Pedras and Rio do Sapo CDM Project (JUN1132), Brazil",Brazil,,ACM0002 ver. 14,27723,9925
10/07/2014,"Biomass based power plant in Mahendargarh, Haryana",India,Australia,AMS-I.D. ver. 17,52453,9973
14/07/2014,"Grid connected electricity generation plant using natural gas at Jurong Island in Singapore",Singapore,,AM0029 ver. 3,286755,9687
16/07/2014,"Energy Efficiency Measures at MindSpace Building No 6 at Hyderabad",India,,AMS-II.E. ver. 10,4772,9452
17/07/2014,"Waste Heat Recovery Power Plant at Fecto Cement Limited.",Pakistan,,AMS-III.Q. ver. 5,14995,9522
17/07/2014,"Bundled micro hydro power generation project in West Bengal, India",India,,AMS-I.F. ver. 2,11234,9997
17/07/2014,"Efficiency Improvement by Boiler Rehabilitation in fossil fuel-fired (Natural Gas) Steam Boiler System",Saudi Arabia,,AM0056,41831,10006
18/07/2014,"Gove Hydroelectric Power Plant CDM Project - Angola",Angola,,ACM0002 ver. 14,126118,10007
21/07/2014,"Bundled Wind Project-II of Shivashri in Sadawaghapur Maharashtra",India,,AMS-I.D. ver. 17,15431,10013
01/08/2014,"Grid Connected Solar PV Project by M/s. Giriraj Enterprises in Maharashtra",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,9953,10017
13/08/2014,"Power Generation from Cooling of coke in Coke Oven Battery#4 of Rashtriya Ispat Nigam Limited",India,,ACM0012 ver. 4,68312,9988
18/08/2014,"Biomass Power Project- Pragya Energy Pvt. Ltd. (EKI.CDM.December-10-02)",India,,AMS-I.D. ver. 17,6283,9579
22/08/2014,"5 MW Small Hydro Project by Jawala Hydro Power Pvt. Ltd",India,,AMS-I.D. ver. 17,23135,10002
26/08/2014,"BIOGAS RECOVERY AND HEAT GENERATION FROM PALM OIL MILL EFFLUENT (POME), COOPEAGROPAL",Costa Rica,,AMS-III.H. ver. 16/ AMS-I.C. ver. 19/ AMS-I.F. ver. 2,34634,9970
26/08/2014,"Inner Mongolia Shangdi Wind-farm Project",China,Sweden,ACM0002 ver. 14,107929,9968
03/09/2014,"20 MW LNJP Wind Project Power Project, Rajasthan",India,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 15,34990,9460
18/09/2014,"Bundled Wind Energy Project in Maharashtra, India",India,,AMS-I.D. ver. 17,2484,10035
19/09/2014,"Las Palmas Small Hydroelectric Power Plant",Colombia,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,6088,10038
23/09/2014,"Ilha Comprida Hydro Power Plant CDM Project Activity",Brazil,,ACM0002 ver. 14,35038,10022
23/09/2014,"Mampuri Wind Power Project 3",Sri Lanka,Norway,AMS-I.D. ver. 17,18324,9990
